video_id,view_count,guest_name,transcription,text,guest,guest_slug,y_log
fK0nFEJi-Vi,18240,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum on Ukraine, Europe, Trump, and the Danger of Authoritarianism August 28, 2025 (Episode 295) Filmed August 27, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum on Ukraine, Europe, Trump, and the Danger of Authoritarianism August 28, 2025 (Episode 295) Filmed August 27, 2025",Anne Applebaum,anne-applebaum,9.811453819274902
mLxn6uQEHV5,15544,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum February 25, 2025 (Episode 284) Filmed Feb. 24, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum February 25, 2025 (Episode 284) Filmed Feb. 24, 2024",Anne Applebaum,anne-applebaum,9.651468276977539
w7M9-A1QzFY,14652,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum June 14, 2024 (Episode 267) Conversation with Anne Applebaum Filmed June 13, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum June 14, 2024 (Episode 267) Conversation with Anne Applebaum Filmed June 13, 2024",Anne Applebaum,anne-applebaum,9.592401504516602
z2j92MVKvnK,10817,John Bolton,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF John Bolton May 6, 2025 (Episode 289) Filmed May 5, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF John Bolton May 6, 2025 (Episode 289) Filmed May 5, 2025",John Bolton,john-bolton,9.288991928100586
jxlQp213dKZ,7890,James Carville,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville on Harris-Walz v. Trump- Vance August 7, 2024 (Episode 271)","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville on Harris-Walz v. Trump- Vance August 7, 2024 (Episode 271)",James Carville,james-carville,8.973528861999512
K63x_FXJYH6,7838,James Carville,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville May 30, 2024 (Episode 266) James Carville Conversation Filmed May 29, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville May 30, 2024 (Episode 266) James Carville Conversation Filmed May 29, 2024",James Carville,james-carville,8.966815948486328
zA3aCLbrNhA,7794,Mark Esper,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Mark Esper April 24, 2024 (Episode 263) Mark Esper Conversation Filmed April 17, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Mark Esper April 24, 2024 (Episode 263) Mark Esper Conversation Filmed April 17, 2024",Mark Esper,mark-esper,8.961301803588867
LkbI5YOBs9A,5953,Robert Kagan,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Robert Kagan May 15, 2024 (Episode 265)","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Robert Kagan May 15, 2024 (Episode 265)",Robert Kagan,robert-kagan,8.691765785217285
ekY_IugSGnl,5543,Larry Summers,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Larry Summers April 29, 2025 (Episode 288) Filmed April 28, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Larry Summers April 29, 2025 (Episode 288) Filmed April 28, 2025",Larry Summers,larry-summers,8.620532035827637
HHiiszVzJoW,4950,Jack Goldsmith,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Harvard's Jack Goldsmith on the Coming Trump Presidency December 12, 2024 (Episode 279) Filmed December 11, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Harvard's Jack Goldsmith on the Coming Trump Presidency December 12, 2024 (Episode 279) Filmed December 11, 2024",Jack Goldsmith,jack-goldsmith,8.507250785827637
