video_id,view_count,guest_name,transcription,text,guest,guest_slug,y_log
X7YEkGOuMq1,18240,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum on Ukraine, Europe, Trump, and the Danger of Authoritarianism August 28, 2025 (Episode 295) Filmed August 27, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum on Ukraine, Europe, Trump, and the Danger of Authoritarianism August 28, 2025 (Episode 295) Filmed August 27, 2025",Anne Applebaum,anne-applebaum,9.811453819274902
zAGdcg8lfDX,15544,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum February 25, 2025 (Episode 284) Filmed Feb. 24, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum February 25, 2025 (Episode 284) Filmed Feb. 24, 2024",Anne Applebaum,anne-applebaum,9.651468276977539
EwxYqYY-xJL,14652,Anne Applebaum,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum June 14, 2024 (Episode 267) Conversation with Anne Applebaum Filmed June 13, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Anne Applebaum June 14, 2024 (Episode 267) Conversation with Anne Applebaum Filmed June 13, 2024",Anne Applebaum,anne-applebaum,9.592401504516602
RmrmDGNY3BG,10817,John Bolton,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF John Bolton May 6, 2025 (Episode 289) Filmed May 5, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF John Bolton May 6, 2025 (Episode 289) Filmed May 5, 2025",John Bolton,john-bolton,9.288991928100586
1BIxe84toHP,7838,James Carville,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville May 30, 2024 (Episode 266) James Carville Conversation Filmed May 29, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF James Carville May 30, 2024 (Episode 266) James Carville Conversation Filmed May 29, 2024",James Carville,james-carville,8.966815948486328
oVhhncnMBe_,7794,Mark Esper,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Mark Esper April 24, 2024 (Episode 263) Mark Esper Conversation Filmed April 17, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Mark Esper April 24, 2024 (Episode 263) Mark Esper Conversation Filmed April 17, 2024",Mark Esper,mark-esper,8.961301803588867
-ZMkK9BrYEo,5543,Larry Summers,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Larry Summers April 29, 2025 (Episode 288) Filmed April 28, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Larry Summers April 29, 2025 (Episode 288) Filmed April 28, 2025",Larry Summers,larry-summers,8.620532035827637
xWMlTPLzxqh,4950,The Terror Presidency,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Harvard's Jack Goldsmith on the Coming Trump Presidency December 12, 2024 (Episode 279) Filmed December 11, 2024","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Harvard's Jack Goldsmith on the Coming Trump Presidency December 12, 2024 (Episode 279) Filmed December 11, 2024",The Terror Presidency,the-terror-presidency,8.507250785827637
3dcVnhow0t-,4361,Filmed,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Doug Sosnik on Biden, Trump, and 2024 February 15, 2024 (Episode 259) Doug Sosnik Conversation","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF Doug Sosnik on Biden, Trump, and 2024 February 15, 2024 (Episode 259) Doug Sosnik Conversation",Filmed,filmed,8.380640029907227
7XBe11bvYWW,4347,Ab Stoddard,"Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF A.B. Stoddard April 3, 2025 (Episode 286) Filmed April 2, 2025","Home Summaries Guest Biographies About Us Support Our Work Contact Search Home Summaries Guest Biographies About Us Support Our Work Contact Download PDF A.B. Stoddard April 3, 2025 (Episode 286) Filmed April 2, 2025",Ab Stoddard,ab-stoddard,8.3775634765625
